[2025-07-24T11:05:54.263+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LIX
[2025-07-24T11:05:54.321+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KHP
[2025-07-24T11:05:54.405+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LGL
[2025-07-24T11:05:54.420+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LM8
[2025-07-24T11:05:54.437+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MBB
[2025-07-24T11:05:54.449+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KPF
[2025-07-24T11:05:54.514+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LBM
[2025-07-24T11:05:54.520+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho L10
[2025-07-24T11:05:54.533+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LDG
[2025-07-24T11:05:54.553+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LCG
[2025-07-24T11:05:54.646+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LGC
[2025-07-24T11:05:54.698+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MHC
[2025-07-24T11:05:54.711+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MIG
[2025-07-24T11:05:54.734+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LPB
[2025-07-24T11:05:54.754+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LSS
[2025-07-24T11:05:54.759+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LHG
[2025-07-24T11:05:55.009+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MCP
[2025-07-24T11:05:55.020+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MCM
[2025-07-24T11:05:55.043+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NCT
[2025-07-24T11:05:55.117+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NAB
[2025-07-24T11:05:55.135+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MSH
[2025-07-24T11:05:55.157+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MDG
[2025-07-24T11:05:55.170+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MWG
[2025-07-24T11:05:55.238+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MSB
[2025-07-24T11:05:55.292+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NNC
[2025-07-24T11:05:55.304+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MSN
[2025-07-24T11:05:55.342+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NHT
[2025-07-24T11:05:55.353+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NHA
[2025-07-24T11:05:55.415+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NAV
