[2025-07-24T11:09:55.785+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KSB
[2025-07-24T11:09:55.813+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KHP
[2025-07-24T11:09:55.836+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KMR
[2025-07-24T11:09:55.910+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KPF
[2025-07-24T11:09:55.954+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho L10
[2025-07-24T11:09:56.020+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LCG
[2025-07-24T11:09:56.025+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LBM
[2025-07-24T11:09:56.041+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LDG
[2025-07-24T11:09:56.075+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LAF
[2025-07-24T11:09:56.212+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LEC
[2025-07-24T11:09:56.379+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LGC
[2025-07-24T11:09:56.456+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LM8
[2025-07-24T11:09:56.517+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LPB
[2025-07-24T11:09:56.542+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LSS
[2025-07-24T11:09:56.646+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LGL
[2025-07-24T11:09:56.667+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MCP
[2025-07-24T11:09:56.767+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MBB
[2025-07-24T11:09:56.773+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LHG
[2025-07-24T11:09:56.777+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LIX
[2025-07-24T11:09:56.822+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MSB
[2025-07-24T11:09:56.930+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MIG
[2025-07-24T11:09:56.978+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MDG
[2025-07-24T11:09:57.013+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MCM
[2025-07-24T11:09:57.091+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MSH
[2025-07-24T11:09:57.108+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MSN
[2025-07-24T11:09:57.198+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MHC
[2025-07-24T11:09:57.263+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NAF
[2025-07-24T11:09:57.331+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho MWG
[2025-07-24T11:09:57.392+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NAB
[2025-07-24T11:09:57.502+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NBB
[2025-07-24T11:09:57.587+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NKG
[2025-07-24T11:09:57.626+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NHT
[2025-07-24T11:09:57.793+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho NAV
